id,mp_party
1369017883834122240,Labour
1369015284661706764,Labour
1368952854191497228,Labour
1368846195632836608,Labour
1368842265981050885,Labour
1368615507839102983,Labour
1368499688568152069,Labour
1368497092231114755,Labour
1368493082145140736,Labour
1368490755413671936,Labour
1368465486032306179,Labour
1368278060848590856,Labour
1368275943022878721,Labour
1367912165311733762,Labour
1367901297966542854,Labour
1367858852692123649,Labour
1367597697541279753,Labour
1367564411838332934,Labour
1367484560297107456,Labour
1367431779200688128,Labour
1367428729123799040,Labour
1367428435572891649,Labour
1367425473354080256,Labour
1367417132926070789,Labour
1367375840179343361,Labour
1367075154262654976,Labour
1366852489799213056,Labour
1366849676058755075,Labour
1366804721433014281,Labour
1366794919285817351,Labour
1366773491526156288,Labour
1366508758852116486,Labour
1366508234048221187,Labour
1365416712489820162,Labour
1365314085215158280,Labour
1365313706574422019,Labour
1364862599414902784,Labour
1364707826573180929,Labour
1364703811508572162,Labour
1364657500797157376,Labour
1364637407505768452,Labour
1364632037106327556,Labour
1364602892385148929,Labour
1363641263510216704,Labour
1363468008845361152,Labour
1363222063054520324,Labour
1363086818133102592,Labour
1362877248131506176,Labour
1362801708284473346,Labour
1362754293355397125,Labour
1362424300431699970,Labour
1362420600552247302,Labour
1362419897339420675,Labour
1362394269319897093,Labour
1362241641415901187,Labour
1362241286955282435,Labour
1362088295593893895,Labour
1362033259752923139,Labour
1361968715005313027,Labour
1361668262447247360,Labour
1361049206618734596,Labour
1360914349888577537,Labour
1360687566320713732,Labour
1360682387122831367,Labour
1360601854695063557,Labour
1360325967617654791,Labour
1360325366980767750,Labour
1360226101029699587,Labour
1359868350575345665,Labour
1359563839658991618,Labour
1359529365168672771,Labour
1359459757342543872,Labour
1359431347933175808,Labour
1359195524256198662,Labour
1359194792043945992,Labour
1359194408080592899,Labour
1359183477640466433,Labour
1358873299330170891,Labour
1358856192982978565,Labour
1358855556350509066,Labour
1358740800163749888,Labour
1358349256244015110,Labour
1358148603508895746,Labour
1358145223029895169,Labour
1358021610058502144,Labour
1358020398579912705,Labour
1358020196879990785,Labour
1368956175627255813,Labour
1367597792902991874,Labour
1367534755554672640,Labour
1366306619466907648,Labour
1365970691749781511,Labour
1365746018806075398,Labour
1365697702047215621,Labour
1363566305203347456,Labour
1363205585609580551,Labour
1360943035857698820,Labour
1360666546914361348,Labour
1360629443467874311,Labour
1360351793604083718,Labour
1360321672608382976,Labour
1360308640142553091,Labour
1359926127352049664,Labour
1358839241539809283,Labour
1358361120797560834,Labour
1357424912445669383,Labour
1356306690455588864,Labour
1356304736593584128,Labour
1355969117807910914,Labour
1355492511859544067,Labour
1355185232245358599,Labour
1354121550908305410,Labour
1353481570988994565,Labour
1353382071641780225,Labour
1350041726161985546,Labour
1349840006563684352,Labour
1348328903899811843,Labour
1347561223966109696,Labour
1347223354059714563,Labour
1369250935676035073,Labour
1369213972172439555,Labour
1368927783645290498,Labour
1368912862601744392,Labour
1368857588276858880,Labour
1368853067425284097,Labour
1368852027590250500,Labour
1368687396846530573,Labour
1368320955035119616,Labour
1368281326131044352,Labour
1368273842611888130,Labour
1368273582799851520,Labour
1368265611948793861,Labour
1368132708954693633,Labour
1368132446726860800,Labour
1368132209144659969,Labour
1368126982043688960,Labour
1367974878473842688,Labour
1367940667268345859,Labour
1367840407565045769,Labour
1367813468435415050,Labour
1367812691902009346,Labour
1367812151197499394,Labour
1367811776054779914,Labour
1367805197007912960,Labour
1367805058105114624,Labour
1367774833669455874,Labour
1367743751297318913,Labour
1367742758946037760,Labour
1367738993513758720,Labour
1367738228795715584,Labour
1367599034349871105,Labour
1367533009356914697,Labour
1367452281386500110,Labour
1367429139649753090,Labour
1367428409262014470,Labour
1367425613456437252,Labour
1367228249915469824,Labour
1367167688007680011,Labour
1367167477734604801,Labour
1367131926881071105,Labour
1367124279544983555,Labour
1367054999734386690,Labour
1367054931983667203,Labour
1366784476190228488,Labour
1366778821966520324,Labour
1366778436686131201,Labour
1366777875836370949,Labour
1366752924970418185,Labour
1366752532249382913,Labour
1366660807841480704,Labour
1366378522751758337,Labour
1366364536496865285,Labour
1366363992801828869,Labour
1366363315816058882,Labour
1366362655410294784,Labour
1366361240675745794,Labour
1366301116674281475,Labour
1366014564001841152,Labour
1365957865492647938,Labour
1365938158479806465,Labour
1365934206866640897,Labour
1365792072855408642,Labour
1365790346073018370,Labour
1365789888285663233,Labour
1365751541613944834,Labour
1365745887985696771,Labour
1365745745723351050,Labour
1365737733549920256,Labour
1365710253405405187,Labour
1365705210581159949,Labour
1365703980727357441,Labour
1365664101750423552,Labour
1365603771406045185,Labour
1365598568510337026,Labour
1365597533951700994,Labour
1365594695842336768,Labour
1365593944785092608,Labour
1365588748273143808,Labour
1365428546584408064,Labour
1365276492859588610,Labour
1365275949663727620,Labour
1365275790292770818,Labour
